City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Faanui,PF,80.04,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
10,Kulhudhuffushi,MV,80.56,clear sky,6.6221,73.07,Haajy Guest House 1
13,Daru,PG,76.08,overcast clouds,-9.0763,143.2092,Daru Lodge
21,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
23,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
26,Bambous Virieux,MU,80.85,moderate rain,-20.3428,57.7575,Casa Tia Villa
28,Busselton,AU,79.05,broken clouds,-33.65,115.3333,Observatory Guest House
30,Guacui,BR,75.22,overcast clouds,-20.7756,-41.6794,Hotel Moreira
32,Lorengau,PG,79.32,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
37,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
39,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
40,Carnarvon,AU,80.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
44,Chuy,UY,84.54,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
49,Macapa,BR,85.98,heavy intensity rain,0.0389,-51.0664,Atalanta Hotel
50,Atuona,PF,78.31,clear sky,-9.8,-139.0333,Villa Enata
52,Atar,MR,78.12,clear sky,20.5169,-13.0499,Oumou Elghoura
53,Carauari,BR,83.23,overcast clouds,-4.8828,-66.8958,Hotel Fellip
55,Rikitea,PF,77.47,light rain,-23.1203,-134.9692,People ThankYou
57,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
60,Sao Joaquim Do Monte,BR,83.08,overcast clouds,-8.4325,-35.8044,Pousada Aba da Serra
63,Lethem,GY,89.65,scattered clouds,3.3803,-59.7968,Savannah Inn
69,Waingapu,ID,78.94,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
71,Puerto Ayora,EC,82.36,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Celestun,MX,86.2,clear sky,20.8667,-90.4,Posada Lilia
74,Butaritari,KI,80.47,moderate rain,3.0707,172.7902,Isles Sunset Lodge
76,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
77,Saint-Philippe,RE,80.15,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
83,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
86,Lima Duarte,BR,81.16,moderate rain,-21.8425,-43.7931,Gabvini Hotel!
100,Vila Velha,BR,77.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
103,Tandil,AR,79.74,clear sky,-37.3217,-59.1332,Hostal de la Sierra Tandil
107,Puerto Colombia,CO,89.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
109,Kavaratti,IN,79.05,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
110,Caravelas,BR,83.91,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
115,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
119,Poum,NC,81.91,light rain,-20.2333,164.0167,Gîte kajeon
122,Bengkulu,ID,75.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
123,Koungou,YT,83.91,few clouds,-12.7336,45.2042,Villa Netibor
125,Roebourne,AU,83.52,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
126,Maragogi,BR,83.84,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
131,Basoko,CD,80.74,overcast clouds,1.2391,23.616,Jackyna Hotel
135,Cap Malheureux,MU,81.09,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
136,Iracoubo,GF,78.49,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
138,Antalaha,MG,77.58,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
144,Lazaro Cardenas,MX,81.84,clear sky,17.9583,-102.2,quinta antigua
150,Nicoya,CR,89.15,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
151,Canguaretama,BR,88.29,few clouds,-6.38,-35.1289,Pousada do Italiano
157,Cidreira,BR,80.4,broken clouds,-30.1811,-50.2056,Hotel Castelo
161,Mutuipe,BR,84.74,overcast clouds,-13.2286,-39.5047,Hotel Portal do Vale
169,Bonthe,SL,80.44,clear sky,7.5264,-12.505,Bonthe Holiday Village
180,Man,CI,76.86,clear sky,7.4125,-7.5538,Sodetherm Hotel les Cascades Ma
183,Douentza,ML,75.92,clear sky,14.9951,-2.9517,Ogomono Doumbo
189,Bandarbeyla,SO,75.94,clear sky,9.4942,50.8122,JABIR HOTEL
