City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Faanui,PF,-16.4833,-151.75,80.04,77,100,18.41,overcast clouds
1,Rio Grande,BR,-32.035,-52.0986,93.31,64,0,17.47,clear sky
2,Ancud,CL,-41.8697,-73.8203,65.73,87,73,6.15,light rain
3,Hasaki,JP,35.7333,140.8333,32.4,48,17,12.39,few clouds
4,Barrow,US,71.2906,-156.7887,-23.78,76,0,4.61,haze
5,Severo-Kurilsk,RU,50.6789,156.125,29.62,87,100,8.03,light snow
6,Usinsk,RU,65.9939,57.5281,19.33,96,100,9.28,light snow
7,Isangel,VU,-19.55,169.2667,77.11,94,100,7.2,overcast clouds
8,Margate,GB,51.3813,1.3862,48.96,80,93,13.18,overcast clouds
9,Port Alfred,ZA,-33.5906,26.891,72.46,80,86,17.2,overcast clouds
10,Kulhudhuffushi,MV,6.6221,73.07,80.56,72,6,3.51,clear sky
11,Ribeira Grande,PT,38.5167,-28.7,61.2,67,20,17.27,few clouds
12,Bluff,NZ,-46.6,168.3333,51.8,80,100,3.49,overcast clouds
13,Daru,PG,-9.0763,143.2092,76.08,88,100,8.93,overcast clouds
14,Castro,BR,-24.7911,-50.0119,74.34,81,33,2.46,scattered clouds
15,Vaini,TO,-21.2,-175.2,71.76,100,20,2.3,few clouds
16,Kahului,US,20.8947,-156.47,73.85,77,20,3.44,few clouds
17,Komsomolskiy,UZ,40.4272,71.7189,35.02,86,6,6.91,mist
18,Victoria,HK,22.2855,114.1577,56.32,81,100,1.01,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,51.82,53,0,9.22,clear sky
20,Hermanus,ZA,-34.4187,19.2345,64.9,78,2,8.75,clear sky
21,Mahebourg,MU,-20.4081,57.7,80.89,89,75,25.32,broken clouds
22,Yellowknife,CA,62.456,-114.3525,-23.58,74,0,8.05,clear sky
23,Avarua,CK,-21.2078,-159.775,80.65,83,75,14.97,broken clouds
24,Saskylakh,RU,71.9167,114.0833,-19.77,97,100,1.9,overcast clouds
25,Hobart,AU,-42.8794,147.3294,48.06,85,13,9.22,few clouds
26,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,25.32,moderate rain
27,Ushuaia,AR,-54.8,-68.3,47.82,61,75,14.97,broken clouds
28,Busselton,AU,-33.65,115.3333,79.05,40,53,8.86,broken clouds
29,Cape Town,ZA,-33.9258,18.4232,67.26,64,40,1.99,scattered clouds
30,Guacui,BR,-20.7756,-41.6794,75.22,89,99,3.78,overcast clouds
31,Cherskiy,RU,68.75,161.3,-28.52,99,6,1.3,clear sky
32,Lorengau,PG,-2.0226,147.2712,79.32,79,100,6.87,overcast clouds
33,Laguna,US,38.421,-121.4238,58.23,62,0,1.01,clear sky
34,Qaanaaq,GL,77.484,-69.3632,-14.96,62,100,7.81,overcast clouds
35,Pevek,RU,69.7008,170.3133,-14.42,86,30,1.61,scattered clouds
36,Quzhou,CN,28.9594,118.8686,37.11,100,100,2.53,overcast clouds
37,Pimentel,PE,-6.8367,-79.9342,80.89,57,0,23.02,clear sky
38,Kaeo,NZ,-35.1,173.7833,70.32,92,77,10.33,broken clouds
39,Salalah,OM,17.0151,54.0924,75.29,73,20,0.0,few clouds
40,Carnarvon,AU,-24.8667,113.6333,80.67,78,78,8.05,broken clouds
41,North Platte,US,41.1239,-100.7654,18.99,39,0,5.01,clear sky
42,Albany,US,42.6001,-73.9662,44.55,87,100,1.57,overcast clouds
43,Mount Gambier,AU,-37.8333,140.7667,57.11,67,100,6.91,overcast clouds
44,Chuy,UY,-33.6971,-53.4616,84.54,62,61,13.38,broken clouds
45,Moberly,US,39.4184,-92.4382,15.89,62,75,13.8,broken clouds
46,Norman Wells,CA,65.282,-126.8329,-47.16,59,20,0.0,few clouds
47,Klaksvik,FO,62.2266,-6.589,38.32,70,52,42.37,broken clouds
48,Constitucion,CL,-35.3333,-72.4167,67.86,66,10,7.78,clear sky
49,Macapa,BR,0.0389,-51.0664,85.98,74,75,13.8,heavy intensity rain
50,Atuona,PF,-9.8,-139.0333,78.31,71,0,15.37,clear sky
51,Deogarh,IN,21.5333,84.7333,63.03,96,21,4.36,few clouds
52,Atar,MR,20.5169,-13.0499,78.12,8,0,10.25,clear sky
53,Carauari,BR,-4.8828,-66.8958,83.23,77,93,4.7,overcast clouds
54,Kawalu,ID,-7.3817,108.2082,71.64,93,96,3.78,overcast clouds
55,Rikitea,PF,-23.1203,-134.9692,77.47,77,100,14.94,light rain
56,Gat,IL,31.61,34.7642,57.4,100,6,15.05,clear sky
57,Georgetown,MY,5.4112,100.3354,82.33,90,20,1.99,few clouds
58,Jamestown,US,42.097,-79.2353,31.08,55,100,11.5,mist
59,Torbay,CA,47.6666,-52.7314,36.27,77,75,23.02,broken clouds
60,Sao Joaquim Do Monte,BR,-8.4325,-35.8044,83.08,48,97,16.13,overcast clouds
61,Deputatskiy,RU,69.3,139.9,-24.16,95,97,1.54,overcast clouds
62,Ahipara,NZ,-35.1667,173.1667,70.23,87,90,12.88,overcast clouds
63,Lethem,GY,3.3803,-59.7968,89.65,58,40,13.8,scattered clouds
