City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ponta Do Sol,PT,2022-02-01 06:19:44,32.6667,-17.1,66.13,29,10,14.12
1,Vila Velha,BR,2022-02-01 06:19:44,-20.3297,-40.2925,73.35,96,75,8.01
2,College,US,2022-02-01 06:18:41,64.8569,-147.8028,-14.42,74,0,4.61
3,Santa Rosa,PH,2022-02-01 06:19:45,14.3122,121.1114,86.09,62,60,16.22
4,New Norfolk,AU,2022-02-01 06:19:45,-42.7826,147.0587,76.66,32,23,4.0
5,San Luis,AR,2022-02-01 06:19:46,-33.295,-66.3356,72.45,46,1,11.45
6,Hailar,CN,2022-02-01 06:19:46,49.2,119.7,-5.93,91,63,5.77
7,Castro,BR,2022-02-01 06:19:46,-24.7911,-50.0119,60.55,91,4,1.48
8,Dingle,PH,2022-02-01 06:19:47,10.9995,122.6711,82.89,73,99,12.75
9,Andenes,NO,2022-02-01 06:19:47,69.3143,16.1194,24.78,58,0,14.97
10,Torbay,CA,2022-02-01 06:15:06,47.6666,-52.7314,30.38,68,75,19.57
11,Rio Gallegos,AR,2022-02-01 06:19:48,-51.6226,-69.2181,46.45,71,0,23.02
12,Ushuaia,AR,2022-02-01 06:15:55,-54.8,-68.3,40.66,87,100,27.63
13,Rikitea,PF,2022-02-01 06:19:48,-23.1203,-134.9692,78.26,66,53,8.34
14,Faanui,PF,2022-02-01 06:19:49,-16.4833,-151.75,81.3,74,4,20.56
15,Svetlopolyansk,RU,2022-02-01 06:19:49,59.4184,52.3605,20.1,93,100,8.61
16,Saint-Francois,FR,2022-02-01 06:19:50,46.4154,3.9054,32.41,85,0,3.44
17,Vardo,NO,2022-02-01 06:19:50,70.3705,31.1107,16.0,84,45,8.84
18,Ranong,TH,2022-02-01 06:19:50,9.9658,98.6348,91.33,50,34,1.45
19,Saint-Philippe,RE,2022-02-01 06:19:51,-21.3585,55.7679,87.35,70,95,14.52
20,Esperance,AU,2022-02-01 06:19:52,-33.8667,121.9,66.7,51,75,18.54
21,Cape Town,ZA,2022-02-01 06:19:49,-33.9258,18.4232,77.11,67,0,3.0
22,Great Falls,US,2022-02-01 06:19:52,47.5002,-111.3008,11.59,83,100,3.0
23,Borba,BR,2022-02-01 06:19:53,-4.3878,-59.5939,71.56,98,72,2.08
24,Fairbanks,US,2022-02-01 06:19:53,64.8378,-147.7164,-14.4,69,0,4.61
25,Guerande,FR,2022-02-01 06:19:53,47.3291,-2.4283,48.61,88,58,14.25
26,East London,ZA,2022-02-01 06:19:54,-33.0153,27.9116,77.94,78,0,4.61
27,Albany,US,2022-02-01 06:18:17,42.6001,-73.9662,11.41,76,6,1.52
28,Kermanshah,IR,2022-02-01 06:19:54,34.3142,47.065,32.9,93,100,9.22
29,Maceio,BR,2022-02-01 06:18:23,-9.6658,-35.7353,76.44,88,20,3.44
30,Karratha,AU,2022-02-01 06:19:55,-20.7377,116.8463,91.35,57,100,13.82
31,Sitka,US,2022-02-01 06:19:55,57.0531,-135.33,33.69,86,100,3.44
32,Hobart,AU,2022-02-01 06:15:32,-42.8794,147.3294,77.02,40,0,5.01
33,Kidal,ML,2022-02-01 06:19:56,18.4411,1.4078,57.54,13,5,11.65
34,Ryotsu,JP,2022-02-01 06:19:57,38.0833,138.4333,37.36,52,96,2.04
35,Souillac,MU,2022-02-01 06:19:57,-20.5167,57.5167,85.35,74,75,18.41
36,Mana,GF,2022-02-01 06:19:57,5.6592,-53.7767,75.36,88,85,7.54
37,Matara,LK,2022-02-01 06:15:40,5.9485,80.5353,87.55,54,28,5.41
38,Svirstroy,RU,2022-02-01 06:19:58,60.7999,33.7248,17.58,95,100,6.85
39,Bambous Virieux,MU,2022-02-01 06:18:41,-20.3428,57.7575,84.22,74,75,18.41
40,Akdepe,TM,2022-02-01 06:19:59,42.0551,59.3788,37.49,74,4,12.19
41,San Rafael,AR,2022-02-01 06:19:59,-34.6177,-68.3301,70.63,38,0,5.61
42,Kaitangata,NZ,2022-02-01 06:19:59,-46.2817,169.8464,62.92,87,100,5.48
43,Grindavik,IS,2022-02-01 06:20:00,63.8424,-22.4338,32.47,64,75,21.85
44,Eyl,SO,2022-02-01 06:20:00,7.9803,49.8164,79.21,66,90,17.47
45,Lengshuijiang,CN,2022-02-01 06:20:01,27.6881,111.4294,39.42,96,100,1.61
46,Kotri,PK,2022-02-01 06:20:02,25.366,68.3122,77.79,28,0,4.5
47,La Grande,US,2022-02-01 06:19:55,45.3246,-118.0877,32.36,95,90,3.6
48,Urengoy,RU,2022-02-01 06:21:02,65.9667,78.3667,2.93,97,99,6.73
49,Mataura,NZ,2022-02-01 06:18:36,-46.1927,168.8643,60.48,65,100,2.3
50,Gladstone,AU,2022-02-01 06:21:03,-23.85,151.25,89.53,55,100,14.97
51,Georgetown,MY,2022-02-01 06:16:42,5.4112,100.3354,94.93,66,20,4.61
52,Kondinskoye,RU,2022-02-01 06:21:03,59.6481,67.41,-3.12,96,94,5.26
53,Roma,US,2022-02-01 06:21:04,43.2128,-75.4557,17.65,81,0,0.0
54,Hilo,US,2022-02-01 06:17:20,19.7297,-155.09,70.25,85,0,3.44
55,Vila Franca Do Campo,PT,2022-02-01 06:21:04,37.7167,-25.4333,57.2,77,69,12.88
56,Pevek,RU,2022-02-01 06:17:11,69.7008,170.3133,-16.42,96,91,0.98
57,Rock Sound,BS,2022-02-01 06:21:05,24.9,-76.2,68.61,55,44,15.66
58,Bredasdorp,ZA,2022-02-01 06:21:05,-34.5322,20.0403,76.28,88,2,6.91
59,Barrow,US,2022-02-01 06:17:24,71.2906,-156.7887,-11.18,70,100,5.75
60,Busselton,AU,2022-02-01 06:21:06,-33.65,115.3333,82.04,29,0,8.86
61,Qaqortoq,GL,2022-02-01 06:21:06,60.7167,-46.0333,23.5,93,91,2.15
62,Okhotsk,RU,2022-02-01 06:21:07,59.3833,143.3,8.33,85,76,12.26
63,Mehamn,NO,2022-02-01 06:21:07,71.0357,27.8492,21.38,85,75,10.47
64,Yellowknife,CA,2022-02-01 06:17:55,62.456,-114.3525,-13.45,86,88,10.0
65,Atuona,PF,2022-02-01 06:21:08,-9.8,-139.0333,78.85,75,12,21.77
66,Kuragino,RU,2022-02-01 06:21:08,53.8975,92.6725,1.78,86,34,1.23
67,Kodiak,US,2022-02-01 06:21:09,57.79,-152.4072,35.11,87,100,14.97
68,Isla Vista,US,2022-02-01 06:21:09,34.4133,-119.861,56.82,77,0,0.0
69,Paamiut,GL,2022-02-01 06:21:10,61.994,-49.6678,18.3,92,100,6.46
70,Cherdyn,RU,2022-02-01 06:21:10,60.403,56.4787,10.65,97,96,5.68
71,Geraldton,AU,2022-02-01 06:20:04,-28.7667,114.6,91.81,33,8,24.16
72,Caravelas,BR,2022-02-01 06:21:11,-17.7125,-39.2481,76.91,88,70,5.75
73,Hermanus,ZA,2022-02-01 06:21:11,-34.4187,19.2345,76.89,70,5,3.38
74,Kapaa,US,2022-02-01 06:17:32,22.0752,-159.319,73.38,79,0,4.61
75,Alpena,US,2022-02-01 06:21:12,45.0617,-83.4327,23.14,82,0,5.99
76,Ust-Barguzin,RU,2022-02-01 06:21:12,53.45,108.9833,0.05,84,98,1.99
77,Cidreira,BR,2022-02-01 06:21:13,-30.1811,-50.2056,72.07,87,4,8.84
78,Raudeberg,NO,2022-02-01 06:21:13,61.9875,5.1352,31.87,90,100,3.0
79,Padang,ID,2022-02-01 06:21:13,-0.9492,100.3543,84.25,80,81,6.02
80,Punta Arenas,CL,2022-02-01 06:21:14,-53.15,-70.9167,44.71,76,40,34.52
81,Waipawa,NZ,2022-02-01 06:21:15,-41.4122,175.5153,72.23,61,61,3.83
82,Hithadhoo,MV,2022-02-01 06:21:15,-0.6,73.0833,82.63,72,12,11.68
83,Lyngseidet,NO,2022-02-01 06:21:16,69.5763,20.2189,26.69,70,100,13.24
84,Walvis Bay,NA,2022-02-01 06:21:16,-22.9575,14.5053,69.1,82,100,5.26
85,Carutapera,BR,2022-02-01 06:21:17,-1.195,-46.02,76.35,93,100,6.8
86,Arraial Do Cabo,BR,2022-02-01 06:21:17,-22.9661,-42.0278,76.35,91,100,3.69
87,Vaini,TO,2022-02-01 06:21:17,-21.2,-175.2,82.56,78,40,6.91
88,Saldanha,ZA,2022-02-01 06:21:18,-33.0117,17.9442,62.65,78,4,13.4
89,Maxixe,MZ,2022-02-01 06:21:18,-23.8597,35.3472,84.02,70,40,0.0
90,San Patricio,US,2022-02-01 06:21:19,28.017,-97.5169,61.9,96,78,6.22
91,Conde,BR,2022-02-01 06:17:43,-7.2597,-34.9075,76.46,88,20,3.44
92,Mnogovershinnyy,RU,2022-02-01 06:21:19,53.9353,139.9242,0.97,88,100,6.96
93,Nikolskoye,RU,2022-02-01 06:21:20,59.7035,30.7861,24.69,97,98,3.94
94,Moncton,CA,2022-02-01 06:21:20,46.1159,-64.8019,0.09,85,0,6.91
95,Touros,BR,2022-02-01 06:22:21,-5.1989,-35.4608,74.3,75,60,9.55
96,San Cristobal,VE,2022-02-01 06:22:21,7.7669,-72.225,63.97,89,90,2.35
97,Udachnyy,RU,2022-02-01 06:22:21,66.4167,112.4,-27.98,98,59,2.82
98,Nurota,UZ,2022-02-01 06:22:22,40.5614,65.6886,46.49,43,4,8.23
99,Tiznit,MA,2022-02-01 06:22:22,29.5833,-9.5,60.57,42,99,4.32
